id,file_name,raw_code,actual_class,predicted_class,pragma_removed_code,gpt-3.5-turbo-GNN,gpt-3.5-turbo-NoGNN,actual_pragma,GNN-gen-pragma,gpt4-no-gnn-gen-pragma,human-gnn,human-no-gnn,note
0,./Benchmark-Test-2/3/bt-9.ll,"#pragma rose_outline
    for (i = 1; i <= grid_points[0] - 1 - 1; i += 1) {
		#pragma rose_outline
      for (k = 1; k <= grid_points[2] - 1 - 1; k += 1) {
/*--------------------------------------------------------------------
c     subtract A*lhs_vector(j-1) from lhs_vector(j)
c     
c     rhs(j) = rhs(j) - A*rhs(j-1)
c-------------------------------------------------------------------*/
        matvec_sub(lhs[i][j][k][0],rhs[i][j - 1][k],rhs[i][j][k]);
/*--------------------------------------------------------------------
c     B(j) = B(j) - C(j-1)*A(j)
c-------------------------------------------------------------------*/
        matmul_sub(lhs[i][j][k][0],lhs[i][j - 1][k][2],lhs[i][j][k][1]);
/*--------------------------------------------------------------------
c     multiply c(i,j,k) by b_inverse and copy back to c
c     multiply rhs(i,1,k) by b_inverse(i,1,k) and copy to rhs
c-------------------------------------------------------------------*/
        binvcrhs(lhs[i][j][k][1],lhs[i][j][k][2],rhs[i][j][k]);
      }
    }",2,2,"
    for (i = 1; i <= grid_points[0] - 1 - 1; i += 1) {
      for (k = 1; k <= grid_points[2] - 1 - 1; k += 1) {
/*--------------------------------------------------------------------
c     subtract A*lhs_vector(j-1) from lhs_vector(j)
c     
c     rhs(j) = rhs(j) - A*rhs(j-1)
c-------------------------------------------------------------------*/
        matvec_sub(lhs[i][j][k][0],rhs[i][j - 1][k],rhs[i][j][k]);
/*--------------------------------------------------------------------
c     B(j) = B(j) - C(j-1)*A(j)
c-------------------------------------------------------------------*/
        matmul_sub(lhs[i][j][k][0],lhs[i][j - 1][k][2],lhs[i][j][k][1]);
/*--------------------------------------------------------------------
c     multiply c(i,j,k) by b_inverse and copy back to c
c     multiply rhs(i,1,k) by b_inverse(i,1,k) and copy to rhs
c-------------------------------------------------------------------*/
        binvcrhs(lhs[i][j][k][1],lhs[i][j][k][2],rhs[i][j][k]);
      }
    }",,"#pragma omp parallel for private(i, k)
    for (int i = 1; i <= grid_points[0] - 1 - 1; i += 1) {
      for (int k = 1; k <= grid_points[2] - 1 - 1; k += 1) {
 
        matvec_sub(lhs[i][j][k][0],rhs[i][j - 1][k],rhs[i][j][k]);
 
        matmul_sub(lhs[i][j][k][0],lhs[i][j - 1][k][2],lhs[i][j][k][1]);
 
        binvcrhs(lhs[i][j][k][1],lhs[i][j][k][2],rhs[i][j][k]);
      }
    }",none,none,#pragma omp parallel for collapse(2),5,0,
1,./Benchmark-Test-2/3/is-3.ll,"#pragma rose_outline
  for (i = 0; i <= 524286; i += 1) {
    prv_buff1[i + 1] += prv_buff1[i];
  }",2,0,"
  for (i = 0; i <= 524286; i += 1) {
    prv_buff1[i + 1] += prv_buff1[i];
  }","#pragma omp parallel for private(i)
  for (i = 0; i <= 524286; i += 1) {
    prv_buff1[i + 1] += prv_buff1[i];
  }","#pragma omp parallel for
  for (i = 0; i <= 524286; i += 1) {
    prv_buff1[i + 1] += prv_buff1[i];
  }",none,#pragma omp parallel for private(i),none,0,5,
2,./Benchmark-Test-2/0/sp-20.ll,"//#pragma omp parallel for private (i,k)
         #pragma rose_outline 
		for (i = 1; i <= grid_points[0] - 2; i += 1) {
          
#pragma omp parallel for private (k) firstprivate (n,j1,j2)
          for (k = 1; k <= grid_points[2] - 2; k += 1) {
            rhs[m][i][j][k] = rhs[m][i][j][k] - lhs[n + 3][i][j][k] * rhs[m][i][j1][k] - lhs[n + 4][i][j][k] * rhs[m][i][j2][k];
          }
        }",0,0,"		for (i = 1; i <= grid_points[0] - 2; i += 1) {
          

          for (k = 1; k <= grid_points[2] - 2; k += 1) {
            rhs[m][i][j][k] = rhs[m][i][j][k] - lhs[n + 3][i][j][k] * rhs[m][i][j1][k] - lhs[n + 4][i][j][k] * rhs[m][i][j2][k];
          }
        }","#pragma omp parallel for private(i, k)
for (i = 1; i <= grid_points[0] - 2; i += 1) {
    for (k = 1; k <= grid_points[2] - 2; k += 1) {
        rhs[m][i][j][k] = rhs[m][i][j][k] - lhs[n + 3][i][j][k] * rhs[m][i][j1][k] - lhs[n + 4][i][j][k] * rhs[m][i][j2][k];
    }
}","#pragma omp parallel for private(i, k)
for (i = 1; i <= grid_points[0] - 2; i += 1) {
  for (k = 1; k <= grid_points[2] - 2; k += 1) {
    rhs[m][i][j][k] = rhs[m][i][j][k] - lhs[n + 3][i][j][k] * rhs[m][i][j1][k] - lhs[n + 4][i][j][k] * rhs[m][i][j2][k];
  }
}","#pragma omp parallel for private (i,k)","#pragma omp parallel for private(i, k)",#pragma omp parallel for collapse(2),5,2,
3,./Benchmark-Test-2/0/sp-63.ll,"//#pragma omp parallel for private (t1,t2,t3,ac,ru1,uu,vv,ww,r1,r2,r3,r4,r5,ac2inv,i,j,k)
   #pragma rose_outline 
  for (i = 1; i <= grid_points[0] - 2; i += 1) {
    
//#pragma omp parallel for private (t1,t2,t3,ac,ru1,uu,vv,ww,r1,r2,r3,r4,r5,ac2inv,j,k)
 #pragma rose_outline   
  for (j = 1; j <= grid_points[1] - 2; j += 1) {
      
#pragma omp parallel for private (t1,t2,t3,ac,ru1,uu,vv,ww,r1,r2,r3,r4,r5,ac2inv,k) firstprivate (c2,bt)
      for (k = 1; k <= grid_points[2] - 2; k += 1) {
        ru1 = rho_i[i][j][k];
        uu = us[i][j][k];
        vv = vs[i][j][k];
        ww = ws[i][j][k];
        ac = speed[i][j][k];
        ac2inv = ainv[i][j][k] * ainv[i][j][k];
        r1 = rhs[0][i][j][k];
        r2 = rhs[1][i][j][k];
        r3 = rhs[2][i][j][k];
        r4 = rhs[3][i][j][k];
        r5 = rhs[4][i][j][k];
        t1 = c2 * ac2inv * (qs[i][j][k] * r1 - uu * r2 - vv * r3 - ww * r4 + r5);
        t2 = bt * ru1 * (uu * r1 - r2);
        t3 = bt * ru1 * ac * t1;
        rhs[0][i][j][k] = r1 - t1;
        rhs[1][i][j][k] = -ru1 * (ww * r1 - r4);
        rhs[2][i][j][k] = ru1 * (vv * r1 - r3);
        rhs[3][i][j][k] = -t2 + t3;
        rhs[4][i][j][k] = t2 + t3;
      }
    }
  }",0,0,"  for (i = 1; i <= grid_points[0] - 2; i += 1) {
  for (j = 1; j <= grid_points[1] - 2; j += 1) {
            for (k = 1; k <= grid_points[2] - 2; k += 1) {
        ru1 = rho_i[i][j][k];
        uu = us[i][j][k];
        vv = vs[i][j][k];
        ww = ws[i][j][k];
        ac = speed[i][j][k];
        ac2inv = ainv[i][j][k] * ainv[i][j][k];
        r1 = rhs[0][i][j][k];
        r2 = rhs[1][i][j][k];
        r3 = rhs[2][i][j][k];
        r4 = rhs[3][i][j][k];
        r5 = rhs[4][i][j][k];
        t1 = c2 * ac2inv * (qs[i][j][k] * r1 - uu * r2 - vv * r3 - ww * r4 + r5);
        t2 = bt * ru1 * (uu * r1 - r2);
        t3 = bt * ru1 * ac * t1;
        rhs[0][i][j][k] = r1 - t1;
        rhs[1][i][j][k] = -ru1 * (ww * r1 - r4);
        rhs[2][i][j][k] = ru1 * (vv * r1 - r3);
        rhs[3][i][j][k] = -t2 + t3;
        rhs[4][i][j][k] = t2 + t3;
      }
    }
  }","#pragma omp parallel for private(i, j, k, ru1, uu, vv, ww, ac, ac2inv, r1, r2, r3, r4, r5, t1, t2, t3)
for (i = 1; i <= grid_points[0] - 2; i += 1) {
  for (j = 1; j <= grid_points[1] - 2; j += 1) {
    for (k = 1; k <= grid_points[2] - 2; k += 1) {
      ru1 = rho_i[i][j][k];
      uu = us[i][j][k];
      vv = vs[i][j][k];
      ww = ws[i][j][k];
      ac = speed[i][j][k];
      ac2inv = ainv[i][j][k] * ainv[i][j][k];
      r1 = rhs[0][i][j][k];
      r2 = rhs[1][i][j][k];
      r3 = rhs[2][i][j][k];
      r4 = rhs[3][i][j][k];
      r5 = rhs[4][i][j][k];
      t1 = c2 * ac2inv * (qs[i][j][k] * r1 - uu * r2 - vv * r3 - ww * r4 + r5);
      t2 = bt * ru1 * (uu * r1 - r2);
      t3 = bt * ru1 * ac * t1;
      rhs[0][i][j][k] = r1 - t1;
      rhs[1][i][j][k] = -ru1 * (ww * r1 - r4);
      rhs[2][i][j][k] = ru1 * (vv * r1 - r3);
      rhs[3][i][j][k] = -t2 + t3;
      rhs[4][i][j][k] = t2 + t3;
    }
  }
}","#pragma omp parallel for private(i, j, k, ru1, uu, vv, ww, ac, ac2inv, r1, r2, r3, r4, r5, t1, t2, t3)
for (i = 1; i <= grid_points[0] - 2; i += 1) {
  for (j = 1; j <= grid_points[1] - 2; j += 1) {
    for (k = 1; k <= grid_points[2] - 2; k += 1) {
      ru1 = rho_i[i][j][k];
      uu = us[i][j][k];
      vv = vs[i][j][k];
      ww = ws[i][j][k];
      ac = speed[i][j][k];
      ac2inv = ainv[i][j][k] * ainv[i][j][k];
      r1 = rhs[0][i][j][k];
      r2 = rhs[1][i][j][k];
      r3 = rhs[2][i][j][k];
      r4 = rhs[3][i][j][k];
      r5 = rhs[4][i][j][k];
      t1 = c2 * ac2inv * (qs[i][j][k] * r1 - uu * r2 - vv * r3 - ww * r4 + r5);
      t2 = bt * ru1 * (uu * r1 - r2);
      t3 = bt * ru1 * ac * t1;
      rhs[0][i][j][k] = r1 - t1;
      rhs[1][i][j][k] = -ru1 * (ww * r1 - r4);
      rhs[2][i][j][k] = ru1 * (vv * r1 - r3);
      rhs[3][i][j][k] = -t2 + t3;
      rhs[4][i][j][k] = t2 + t3;
    }
  }
}","#pragma omp parallel for private (t1,t2,t3,ac,ru1,uu,vv,ww,r1,r2,r3,r4,r5,ac2inv,k)","#pragma omp parallel for private(i, j, k, ru1, uu, vv, ww, ac, ac2inv, r1, r2, r3, r4, r5, t1, t2, t3)","#pragma omp parallel for collapse(3) private(i, j, k, ru1, uu, vv, ww, ac, ac2inv, r1, r2, r3, r4, r5, t1, t2, t3)",4,4,order + both predict 17 vs exp 15 vars
4,./Benchmark-Test-2/0/lu-79.ll,"//#pragma omp parallel for private (m)
          #pragma rose_outline
		  for (m = 0; m <= 4; m += 1) {
            frct[i][j][k][m] = frct[i][j][k][m] - dsspm * (rsd[i][j - 2][k][m] - 4.0 * rsd[i][j - 1][k][m] + 6.0 * rsd[i][j][k][m] - 4.0 * rsd[i][j + 1][k][m] + rsd[i][j + 2][k][m]);
          }",0,0,"		  for (m = 0; m <= 4; m += 1) {
            frct[i][j][k][m] = frct[i][j][k][m] - dsspm * (rsd[i][j - 2][k][m] - 4.0 * rsd[i][j - 1][k][m] + 6.0 * rsd[i][j][k][m] - 4.0 * rsd[i][j + 1][k][m] + rsd[i][j + 2][k][m]);
          }","#pragma omp parallel for private(m)
for (m = 0; m <= 4; m += 1) {
    frct[i][j][k][m] = frct[i][j][k][m] - dsspm * (rsd[i][j - 2][k][m] - 4.0 * rsd[i][j - 1][k][m] + 6.0 * rsd[i][j][k][m] - 4.0 * rsd[i][j + 1][k][m] + rsd[i][j + 2][k][m]);
}","#pragma omp parallel for
for (m = 0; m <= 4; m += 1) {
  frct[i][j][k][m] = frct[i][j][k][m] - dsspm * (rsd[i][j - 2][k][m] - 4.0 * rsd[i][j - 1][k][m] + 6.0 * rsd[i][j][k][m] - 4.0 * rsd[i][j + 1][k][m] + rsd[i][j + 2][k][m]);
}",#pragma omp parallel for private (m),#pragma omp parallel for private(m),#pragma omp parallel for private(m),5,5,
5,./Benchmark-Test-2/3/sp-139.ll,"       #pragma rose_outline 
	  for (k = 0; k <= grid_points[2] - 1; k += 1) {
        zeta = ((double )k) * dnzm1;
         #pragma rose_outline 
		for (ix = 0; ix <= 1; ix += 1) {
          exact_solution((double )ix,eta,zeta,&Pface[ix][0][0]);
        }
         #pragma rose_outline 
		for (iy = 0; iy <= 1; iy += 1) {
          exact_solution(xi,(double )iy,zeta,&Pface[iy][1][0]);
        }
         #pragma rose_outline 
		for (iz = 0; iz <= 1; iz += 1) {
          exact_solution(xi,eta,(double )iz,&Pface[iz][2][0]);
        }
        
#pragma omp parallel for private (Pxi,Peta,Pzeta,m) firstprivate (xi,eta,zeta)
        for (m = 0; m <= 4; m += 1) {
          Pxi = xi * Pface[1][0][m] + (1.0 - xi) * Pface[0][0][m];
          Peta = eta * Pface[1][1][m] + (1.0 - eta) * Pface[0][1][m];
          Pzeta = zeta * Pface[1][2][m] + (1.0 - zeta) * Pface[0][2][m];
          u[m][i][j][k] = Pxi + Peta + Pzeta - Pxi * Peta - Pxi * Pzeta - Peta * Pzeta + Pxi * Peta * Pzeta;
        }
      }",2,2,"
	  for (k = 0; k <= grid_points[2] - 1; k += 1) {
        zeta = ((double )k) * dnzm1;
         
		for (ix = 0; ix <= 1; ix += 1) {
          exact_solution((double )ix,eta,zeta,&Pface[ix][0][0]);
        }
		for (iy = 0; iy <= 1; iy += 1) {
          exact_solution(xi,(double )iy,zeta,&Pface[iy][1][0]);
        }
    
		for (iz = 0; iz <= 1; iz += 1) {
          exact_solution(xi,eta,(double )iz,&Pface[iz][2][0]);
        }
        
        for (m = 0; m <= 4; m += 1) {
          Pxi = xi * Pface[1][0][m] + (1.0 - xi) * Pface[0][0][m];
          Peta = eta * Pface[1][1][m] + (1.0 - eta) * Pface[0][1][m];
          Pzeta = zeta * Pface[1][2][m] + (1.0 - zeta) * Pface[0][2][m];
          u[m][i][j][k] = Pxi + Peta + Pzeta - Pxi * Peta - Pxi * Pzeta - Peta * Pzeta + Pxi * Peta * Pzeta;
        }
      }",,"#pragma omp parallel for private(k, zeta, ix, iy, iz, m, Pxi, Peta, Pzeta)
for (k = 0; k <= grid_points[2] - 1; k += 1) {
    zeta = ((double)k) * dnzm1;

    for (ix = 0; ix <= 1; ix += 1) {
        exact_solution((double)ix, eta, zeta, &Pface[ix][0][0]);
    }
    for (iy = 0; iy <= 1; iy += 1) {
        exact_solution(xi, (double)iy, zeta, &Pface[iy][1][0]);
    }

    for (iz = 0; iz <= 1; iz += 1) {
        exact_solution(xi, eta, (double)iz, &Pface[iz][2][0]);
    }

    for (m = 0; m <= 4; m += 1) {
        Pxi = xi * Pface[1][0][m] + (1.0 - xi) * Pface[0][0][m];
        Peta = eta * Pface[1][1][m] + (1.0 - eta) * Pface[0][1][m];
        Pzeta = zeta * Pface[1][2][m] + (1.0 - zeta) * Pface[0][2][m];
        u[m][i][j][k] = Pxi + Peta + Pzeta - Pxi * Peta - Pxi * Pzeta - Peta * Pzeta + Pxi * Peta * Pzeta;
    }
}",none,none,"#pragma omp parallel for private(zeta, ix, iy, iz, m, Pxi, Peta, Pzeta)",5,0,
6,./Benchmark-Test-2/0/sp-119.ll,"//#pragma omp parallel for private (i,j,k,n)
 #pragma rose_outline 
  for (n = 0; n <= 2; n += 1) {
    
//#pragma omp parallel for private (i,j,k)
 #pragma rose_outline 
    for (i = 0; i <= grid_points[0] - 1; i += 1) {
      
//#pragma omp parallel for private (j,k)
 #pragma rose_outline 
      for (j = 0; j <= grid_points[1] - 1; j += 1) {
        
//#pragma omp parallel for private (k)
 #pragma rose_outline 
        for (k = 0; k <= grid_points[2] - 1; k += 1) {
          lhs[5 * n + 2][i][j][k] = 1.0;
        }
      }
    }
  }",0,0," 
  for (n = 0; n <= 2; n += 1) {
    
 
    for (i = 0; i <= grid_points[0] - 1; i += 1) {
      
      for (j = 0; j <= grid_points[1] - 1; j += 1) {
        
        for (k = 0; k <= grid_points[2] - 1; k += 1) {
          lhs[5 * n + 2][i][j][k] = 1.0;
        }
      }
    }
  }","#pragma omp parallel for private(n, i, j, k)
  for (n = 0; n <= 2; n += 1) {
    
    for (i = 0; i <= grid_points[0] - 1; i += 1) {
      
      for (j = 0; j <= grid_points[1] - 1; j += 1) {
        
        for (k = 0; k <= grid_points[2] - 1; k += 1) {
          lhs[5 * n + 2][i][j][k] = 1.0;
        }
      }
    }
  }","#pragma omp parallel for
  for (n = 0; n <= 2; n += 1) {
    
 
    for (i = 0; i <= grid_points[0] - 1; i += 1) {
      
      for (j = 0; j <= grid_points[1] - 1; j += 1) {
        
        for (k = 0; k <= grid_points[2] - 1; k += 1) {
          lhs[5 * n + 2][i][j][k] = 1.0;
        }
      }
    }
  }","#pragma omp parallel for private (i,j,k,n)","#pragma omp parallel for private(n, i, j, k)",#pragma omp parallel for collapse(4),5,2,semantic
7,./Benchmark-Test-2/3/lu-70.ll,"	#pragma rose_outline
    for (j = jst; j <= jend; j += 1) {
      jglob = j;
	  #pragma rose_outline
      for (k = 1; k <= nz - 2; k += 1) {
        exact(iglob,jglob,k,u000ijk);
        
//#pragma omp parallel for private (tmp,m)
#pragma rose_outline
        for (m = 0; m <= 4; m += 1) {
          tmp = u000ijk[m] - u[i][j][k][m];
          errnm[m] = errnm[m] + tmp * tmp;
        }
      }
    }",2,2,"
    for (j = jst; j <= jend; j += 1) {
      jglob = j;

      for (k = 1; k <= nz - 2; k += 1) {
        exact(iglob,jglob,k,u000ijk);
        
        for (m = 0; m <= 4; m += 1) {
          tmp = u000ijk[m] - u[i][j][k][m];
          errnm[m] = errnm[m] + tmp * tmp;
        }
      }
    }",,"#pragma omp parallel for private(jglob, tmp) reduction(+:errnm)
    for (j = jst; j <= jend; j += 1) {
      jglob = j;

      for (k = 1; k <= nz - 2; k += 1) {
        exact(iglob,jglob,k,u000ijk);
        
        for (m = 0; m <= 4; m += 1) {
          tmp = u000ijk[m] - u[i][j][k][m];
          errnm[m] = errnm[m] + tmp * tmp;
        }
      }
    }",none,none,"#pragma omp parallel for private(jglob, k, m, tmp)",5,0,
8,./Benchmark-Test-2/3/ft-22.ll,"		#pragma rose_outline
      for (i = 0; i <= 255; i += 1) {
        u0[k][j][i] . real = tmp[t++];
        u0[k][j][i] . imag = tmp[t++];
      }",2,2,"		
      for (i = 0; i <= 255; i += 1) {
        u0[k][j][i] . real = tmp[t++];
        u0[k][j][i] . imag = tmp[t++];
      }",,"#pragma omp parallel for
for (i = 0; i <= 255; i += 1) {
  u0[k][j][i].real = tmp[t++];
  u0[k][j][i].imag = tmp[t++];
}",none,none,#pragma omp parallel for,5,1,
9,./Benchmark-Test-2/3/sp-41.ll,"	 #pragma rose_outline 
    for (i = grid_points[0] - 3; i >= 0; i += -1) {
      i1 = i + 1;
      i2 = i + 2;
      
//#pragma omp parallel for private (j,k,m)
 #pragma rose_outline 
      for (m = 0; m <= 2; m += 1) {
        
//#pragma omp parallel for private (j,k)
 #pragma rose_outline 
        for (j = 1; j <= grid_points[1] - 2; j += 1) {
          
#pragma omp parallel for private (k) firstprivate (n,i1,i2)
          for (k = 1; k <= grid_points[2] - 2; k += 1) {
            rhs[m][i][j][k] = rhs[m][i][j][k] - lhs[n + 3][i][j][k] * rhs[m][i1][j][k] - lhs[n + 4][i][j][k] * rhs[m][i2][j][k];
          }
        }
      }
    }",2,2,"	 
    for (i = grid_points[0] - 3; i >= 0; i += -1) {
      i1 = i + 1;
      i2 = i + 2;
      
      for (m = 0; m <= 2; m += 1) {
        
        for (j = 1; j <= grid_points[1] - 2; j += 1) {
          

          for (k = 1; k <= grid_points[2] - 2; k += 1) {
            rhs[m][i][j][k] = rhs[m][i][j][k] - lhs[n + 3][i][j][k] * rhs[m][i1][j][k] - lhs[n + 4][i][j][k] * rhs[m][i2][j][k];
          }
        }
      }
    }",,"#pragma omp parallel for private(i1, i2, m, j, k) 
    for (i = grid_points[0] - 3; i >= 0; i += -1) {
      i1 = i + 1;
      i2 = i + 2;
      
      for (m = 0; m <= 2; m += 1) {
        
        for (j = 1; j <= grid_points[1] - 2; j += 1) {
          

          for (k = 1; k <= grid_points[2] - 2; k += 1) {
            rhs[m][i][j][k] = rhs[m][i][j][k] - lhs[n + 3][i][j][k] * rhs[m][i1][j][k] - lhs[n + 4][i][j][k] * rhs[m][i2][j][k];
          }
        }
      }
    }",none,none,"#pragma omp parallel for collapse(4) private(i1, i2)",5,0,
